INSTANCE	NUM_VEHICLES	TOTAL_DISTANCE	TOTAL_TIME	RECHARGING_AMOUNT	NUM_VISITED_STATIONS	CONFIGURATION
C101	12	1053.826811	12904.605230	396.614852	8	D0;C21;C22;C25;C27;C30;C28;C26;C10;C11;C9;C8;D0;D0;C75;C1;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0;D0;C20;C24;C34;C36;C39;C38;C37;C35;S11;C52;D0;D0;C90;C87;C86;C82;C83;C84;C85;C88;C89;C91;D0;D0;C23;C29;C32;C33;C31;S11;C51;C50;C49;D0;D0;C98;C2;C4;C6;C7;C3;C5;D0;D0;C59;C60;C58;C56;C53;S16;C54;C55;C57;D0;D0;S5;C12;C14;C16;C19;C18;C17;C15;C13;D0;D0;C67;C65;C62;C64;C68;C69;D0;D0;C63;C74;S19;C79;C77;C80;C72;C61;C66;D0;D0;S19;C73;C70;C71;C76;C78;C81;S19;D0;D0;C41;C40;C42;C44;C45;C48;C46;C47;C43;D0
C102	11	1051.380360	12832.667000	392.704442	8	D0;C67;C74;C62;S19;C79;C77;C80;C72;C61;C64;D0;D0;C90;C87;C86;C82;C83;C84;C85;C88;C89;C91;D0;D0;C51;S11;C31;C33;C28;C26;C10;C11;C9;C8;D0;D0;C75;C1;C2;C4;C6;C7;C3;C5;D0;D0;C41;C40;C42;C44;C45;C48;C46;C47;C43;C50;C49;C52;D0;D0;C21;C22;C25;C27;C68;C69;C66;D0;D0;C30;S9;C34;C36;C39;C38;C37;C35;C32;C29;C24;C20;D0;D0;C65;S19;C73;C70;C71;C76;C78;C81;S19;C63;D0;D0;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0;D0;C23;C12;C14;C16;C19;C18;C17;C15;S7;C13;D0;D0;C59;C60;C58;C56;C53;S16;C54;C55;C57;D0
C103	10	1034.856544	11818.139530	397.528747	9	D0;C90;C87;C86;C83;S1;C82;C84;C85;C88;C89;C5;C75;D0;D0;C59;C60;C58;C56;C53;S16;C54;C55;C57;D0;D0;C22;C24;C25;C27;C30;C28;S9;C26;C39;C36;C34;C29;D0;D0;C74;S19;C73;C70;C71;C76;C78;C81;S19;C62;D0;D0;S3;C96;C95;C94;C92;C93;C97;C100;C99;C98;C91;D0;D0;C67;C65;C63;S19;C79;C77;C80;C72;C61;C66;D0;D0;C20;C21;C7;C3;C1;C2;C4;C6;C10;C11;C9;C8;D0;D0;C23;C12;C14;C16;C19;C18;C17;C15;S7;C13;D0;D0;C52;S11;C32;C33;C38;C37;C35;C31;C51;C50;C49;D0;D0;C41;C40;C42;C44;C45;C48;C46;C47;C43;C68;C64;C69;D0
C104	10	951.567208	11575.865760	339.475045	7	D0;S5;C12;C14;C16;C15;C19;C18;C17;C13;C23;D0;D0;S3;C96;C95;C94;C92;C93;C97;C100;C99;C98;C91;D0;D0;C7;C3;C5;C75;C1;C2;C4;C6;C10;C11;C9;C8;D0;D0;C25;C34;C36;C39;C38;C37;C35;C31;C52;S13;D0;D0;C63;C74;C62;C65;C67;C69;C68;C64;C72;C61;C66;D0;D0;C41;C40;C44;C45;C48;C51;C50;C46;C43;C42;C47;C49;D0;D0;S19;C80;C73;C70;C71;C76;C78;C77;C79;S19;D0;D0;C89;C88;C85;C84;C83;C82;S1;C81;C86;C87;C90;D0;D0;C20;C24;C27;C33;C32;C29;C30;C28;C26;C22;C21;D0;D0;C59;C60;C58;C56;C53;S16;C54;C55;C57;D0
C105	11	1075.367519	12039.537020	459.490044	9	D0;C75;C1;C86;S1;C82;C83;C84;C85;C88;C89;C91;D0;D0;S3;C98;C96;C95;C94;C92;C93;C97;C100;C99;D0;D0;C59;C60;C58;C56;C53;S16;C54;C55;C57;D0;D0;C63;C74;S19;C79;C77;C80;C72;C61;C66;D0;D0;C90;C87;S1;C73;C70;C71;C76;C78;C81;S19;D0;D0;C23;C12;C14;C16;C19;C18;C17;C15;S7;C13;D0;D0;C41;C40;C42;C44;C45;C48;C46;C47;C43;C51;C50;C49;D0;D0;C20;C24;C32;C33;C31;S11;C26;C10;C11;C9;C8;D0;D0;C67;C65;C62;C64;C68;C69;D0;D0;C21;C29;C34;C36;C39;C38;C37;C35;S11;C52;D0;D0;C22;C25;C27;C30;C28;C2;C4;C6;C7;C3;C5;D0
C106	11	1057.654751	12181.071120	441.684511	9	D0;C1;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0;D0;C20;C24;C34;C36;C39;C38;C37;C35;S11;C52;D0;D0;C59;C60;C58;C56;C53;S16;C54;C55;C57;D0;D0;S5;C12;C14;C16;C19;C18;C17;C15;C13;D0;D0;C65;C63;S19;C73;C70;C71;C76;C78;C81;S19;D0;D0;C21;C22;C25;C27;C30;C28;C26;C10;C11;C9;C8;D0;D0;C41;C40;C42;C44;C45;C48;C46;C47;C43;D0;D0;C90;C87;C86;C83;C82;C84;C85;C88;C89;C91;D0;D0;C75;C23;C29;C32;C33;C31;S11;C51;C50;C49;D0;D0;S15;C64;C68;C69;C2;C4;C6;C7;C3;C5;D0;D0;C67;C62;C74;S19;C79;C77;C80;C72;C61;C66;D0
C107	11	1031.556838	12167.431580	444.152420	9	D0;C23;S7;C12;C14;C16;C19;C18;C17;C15;C13;D0;D0;C20;C24;C29;C34;C36;C39;C38;C37;C35;S11;C52;D0;D0;C40;C42;C44;C32;C33;C31;S11;C51;C50;C49;D0;D0;C75;C1;C2;C4;C6;C7;C3;C5;D0;D0;C41;S15;C64;C68;C69;C45;C48;C46;C47;C43;D0;D0;C90;C87;C86;C82;C83;C84;C85;C88;C89;C91;D0;D0;C59;C60;C58;C56;C53;S16;C54;C55;C57;D0;D0;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0;D0;C21;C22;C25;C27;C30;C28;C26;C10;C11;C9;C8;D0;D0;C67;C74;S19;C73;C70;C71;C76;C78;C81;S19;D0;D0;C65;C63;C62;S19;C79;C77;C80;C72;C61;C66;D0
C108	10	1125.949655	11899.761562	516.964199	11	D0;C74;S19;C70;C73;C77;C79;C80;S18;C55;C57;D0;D0;C23;C25;C29;C34;C36;C39;C38;C37;C35;S11;C52;D0;D0;C75;S5;C12;C14;C16;C2;C4;C6;C7;C3;C5;D0;D0;C67;C62;C64;C68;S15;C69;C83;C84;C85;C88;C89;C91;D0;D0;C1;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0;D0;C41;C59;C60;C58;C56;C53;S16;C54;C43;C66;D0;D0;C90;C87;C86;S1;C82;S20;C71;C76;C78;C81;C72;C61;D0;D0;C20;C24;C32;C33;C31;S11;C26;C10;C11;C9;C8;D0;D0;C63;C65;C40;C42;C44;C45;C48;C46;C47;C51;C50;C49;D0;D0;C21;C22;C27;C30;C28;C18;C19;C17;C15;S7;C13;D0
C109	10	1027.102521	11781.576725	452.528863	9	D0;C34;C36;C39;C38;C37;C35;C31;S11;C51;C50;C52;D0;D0;S15;C59;C60;C58;C56;C53;C54;C55;C57;S15;D0;D0;C90;C87;C86;C83;C82;C84;C85;C88;C89;C91;D0;D0;C62;C64;C40;C41;C42;C44;C45;C48;C46;C47;C43;C49;D0;D0;C20;C21;C23;C25;C27;C28;C26;C2;C4;C6;C7;D0;D0;C75;S5;C12;C14;C16;C19;C18;C17;C13;C10;C3;C5;D0;D0;C22;C24;C29;C32;C33;C30;S9;C15;C11;C9;C8;D0;D0;C67;C65;C63;C69;C68;S19;C77;C80;C72;C61;C66;D0;D0;C74;S19;C79;C73;C70;C71;C76;C78;C81;S19;D0;D0;C1;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0
C201	4	645.157861	10288.228550	258.901748	4	D0;C48;C43;C41;C42;C47;S13;C52;C50;C51;C45;C46;C44;C40;C57;C59;C60;C58;C56;C53;S16;C54;C55;C49;C65;C68;C64;C61;C72;C74;C62;C66;C69;C20;D0;D0;C8;C10;C11;C9;C13;C15;C12;C14;C16;C19;C18;C17;C25;C23;C26;S10;C28;C34;C36;C39;C38;C37;C35;C31;C33;C32;C6;C29;C30;C27;C24;C22;C21;D0;D0;C90;C91;C88;C86;C84;C83;C82;C85;S20;C76;C71;C70;C73;C80;C79;C81;C78;C77;C87;C96;C63;C67;D0;D0;C89;C4;C3;C7;C98;C95;C94;C92;C97;C100;C99;C1;C2;C75;C5;C93;D0
