INSTANCE	NUM_VEHICLES	TOTAL_DISTANCE	TOTAL_TIME	RECHARGING_AMOUNT	NUM_VISITED_STATIONS	CONFIGURATION
C101	12	1043.381809	12647.619510	177.338581	8	D0;S5;C12;C14;C16;C19;C18;C17;C15;C13;D0;D0;C20;C24;C34;C36;C39;C38;C37;C35;S11;C51;C50;C49;D0;D0;C63;C74;S19;C79;C77;C80;C72;C61;C66;D0;D0;C75;C1;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0;D0;C90;C87;C86;C82;C83;C84;C85;C88;C89;C91;D0;D0;S19;C73;C70;C71;C76;C78;C81;S19;D0;D0;S15;C59;C60;C58;C56;C53;C54;C55;C57;S15;D0;D0;C21;C22;C29;C32;C33;C31;C52;D0;D0;C41;C40;C42;C44;C45;C48;C46;C47;C43;D0;D0;C98;C2;C4;C6;C7;C3;C5;D0;D0;C67;C65;C62;C64;C68;C69;D0;D0;C23;C25;C27;C30;C28;C26;C10;C11;C9;C8;D0
C102	10	1058.672989	11619.452780	295.439464	12	D0;C23;C30;C34;C36;C39;C38;C37;C35;C31;S11;C51;C50;D0;D0;C90;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0;D0;C67;C65;C86;C87;S1;C82;C83;C84;C85;C88;C89;C91;D0;D0;S15;C59;C60;C58;C56;C53;C54;C55;C57;S15;D0;D0;C63;C62;C42;C44;C45;C48;C46;C47;C43;C49;C52;S13;D0;D0;C20;C22;C25;C27;C75;C2;C4;C6;C7;C3;C5;D0;D0;C21;C24;C29;C32;C33;C28;S9;C26;C10;C11;C9;C8;D0;D0;C74;S19;C79;C73;C70;C71;C76;C78;C81;S19;C66;D0;D0;C1;C12;C14;C16;C19;C18;C17;C15;S7;C13;D0;D0;C41;C40;S15;C68;C69;C77;C80;S18;C72;C61;C64;D0
C103	10	971.188052	11411.292790	207.201231	9	D0;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;C5;D0;D0;C23;S7;C12;C14;C16;C19;C18;C17;C15;C13;D0;D0;C67;C65;C63;S19;C79;C77;C80;C81;S19;C64;C68;C69;D0;D0;C20;C24;C25;C27;C33;C28;C26;C22;C21;D0;D0;C62;C74;S19;C73;C70;C71;C76;C78;S19;C72;C61;C66;D0;D0;C7;C3;C75;C1;C2;C4;C6;C10;C11;C9;C8;D0;D0;C90;C87;C86;C83;C82;C84;C85;C88;C89;C91;D0;D0;S15;C59;C60;C58;C56;C53;C54;C55;C57;S15;D0;D0;C41;C40;C44;C45;C48;C51;C50;C47;C43;C42;C46;C49;D0;D0;C30;C29;C34;C36;C39;C38;C37;C35;C32;C31;S11;C52;D0
C104	10	884.376657	11057.744320	134.833791	7	D0;C23;C25;C34;C36;C39;C38;C37;C35;C31;C52;S13;C49;D0;D0;C91;C89;C88;C85;C84;C82;C83;C86;C87;C90;D0;D0;S15;C59;C60;C58;C56;C53;C54;C55;C57;S15;D0;D0;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0;D0;C47;C46;C50;C51;C48;C45;C44;C42;C43;C40;C41;D0;D0;C11;S5;C12;C14;C16;C15;C19;C18;C17;C13;D0;D0;S19;C79;C77;C73;C70;C71;C76;C78;C81;C80;S19;C63;D0;D0;C5;C3;C75;C1;C2;C4;C7;C10;C9;C6;C8;D0;D0;C65;C74;C62;C66;C69;C68;C64;C72;C61;C67;D0;D0;C20;C24;C27;C33;C32;C29;C30;C28;C26;C22;C21;D0
C105	10	1064.662739	11436.296410	296.023577	11	D0;C1;C12;C14;C16;C19;C18;C17;C15;S7;C13;D0;D0;C20;C24;C29;C32;C33;C31;S11;C26;C10;C11;C9;C8;D0;D0;C63;C74;S19;C73;C70;C79;C77;C80;S18;C72;C61;C66;D0;D0;C67;C41;C40;C42;C44;C45;C48;C46;C47;C43;C49;D0;D0;C21;C22;C27;C30;C28;C2;C4;C6;C7;C3;C5;D0;D0;C90;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0;D0;S15;C59;C60;C58;C56;C53;C54;C55;C57;S15;D0;D0;C23;C25;C34;C36;C39;C38;C37;C35;S11;C51;C50;C52;D0;D0;C75;C87;C86;S1;C82;C71;C76;C78;C81;S19;D0;D0;C65;C62;C64;C68;C69;S1;C83;C84;C85;C88;C89;C91;D0
C106	10	1061.608062	11376.016300	275.314907	11	D0;C67;C41;C40;C42;C44;C45;C48;C46;C47;C43;C49;D0;D0;C75;C87;C86;C82;S20;C71;C76;C78;C81;S19;D0;D0;C1;C12;C14;C16;C19;C18;C17;C15;S7;C13;D0;D0;C21;C22;C27;C30;C28;C2;C4;C6;C7;C3;C5;D0;D0;C23;C25;C34;C36;C39;C38;C37;C35;S11;C51;C50;C52;D0;D0;C90;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0;D0;S15;C59;C60;C58;C56;C53;C54;C55;C57;S15;D0;D0;C65;C62;C64;C68;C69;S1;C83;C84;C85;C88;C89;C91;D0;D0;C63;C74;S19;C73;C70;C77;C79;C80;S18;C72;C61;C66;D0;D0;C20;C24;C29;C32;C33;C31;S11;C26;C10;C11;C9;C8;D0
C107	10	1046.498475	11254.182660	283.824162	12	D0;C75;C87;C86;S1;C82;C83;C84;C85;C88;C89;C91;D0;D0;C21;C22;C25;C27;C30;C28;C26;C10;C11;C9;C8;D0;D0;C67;C63;C62;S19;C73;C70;C71;C76;C78;C81;S19;D0;D0;C90;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0;D0;C23;C29;C34;C36;C39;C38;C37;C35;S11;C51;C50;C52;D0;D0;C41;C40;C42;C44;S15;C69;C2;C4;C6;C7;C3;C5;D0;D0;S15;C59;C60;C58;C56;C53;C54;C55;C57;S15;D0;D0;C1;S5;C12;C14;C16;C19;C18;C17;C15;C13;D0;D0;C65;C74;C64;C68;S19;C79;C77;C80;S18;C72;C61;C66;D0;D0;C20;C24;C32;C33;C31;C45;C48;C46;C47;C43;C49;S13;D0
C108	10	1022.931907	11017.021610	238.142111	12	D0;C23;S7;C12;C14;C16;C19;C18;C17;C15;C13;D0;D0;C67;C65;C74;S19;C73;C70;C71;C76;C78;C81;S19;D0;D0;C20;C34;C36;C39;C38;C37;C35;S11;C51;C50;C52;C49;D0;D0;C63;C62;C64;C68;S19;C79;C77;C80;S18;C72;C61;C66;D0;D0;C75;C90;C87;C86;S1;C82;C83;C84;C85;C88;C89;C91;D0;D0;C41;C40;C44;C42;S15;C69;C2;C4;C6;C7;C3;C5;D0;D0;C21;C22;C25;C27;C30;C28;C26;C10;C11;C9;C8;D0;D0;C24;C29;C32;C33;C31;S11;C45;C48;C46;C47;C43;D0;D0;C1;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;D0;D0;S15;C59;C60;C58;C56;C53;C54;C55;C57;S15;D0
C109	10	940.384470	10744.736780	164.423916	9	D0;S5;C12;C14;C16;C19;C18;C17;C15;C13;C10;D0;D0;C98;C96;C95;C94;C92;C93;C97;C100;C99;S3;C3;D0;D0;S15;C59;C60;C58;C56;C53;C54;C55;C57;S15;D0;D0;S19;C73;C79;C77;C80;C70;C71;C76;C78;C81;S19;D0;D0;C22;C25;C27;C29;C34;C36;C39;C38;C37;C35;C52;S13;D0;D0;C21;C23;C75;C1;C2;C4;C7;C6;C9;C11;C8;C5;D0;D0;C20;C24;C32;C31;C33;S9;C30;C28;C26;D0;D0;C67;C90;C87;C86;S1;C82;C83;C84;C85;C88;C89;C91;D0;D0;C65;C63;C74;C62;C64;C68;C69;C61;C72;C66;D0;D0;C41;C40;C42;C44;C45;C46;C48;C51;C50;C47;C43;C49;D0
C201	4	629.949380	10125.994370	168.264580	3	D0;C8;C10;C11;C9;C13;C15;C12;C14;C16;C19;C18;C17;C25;C23;C26;S10;C28;C34;C36;C39;C38;C37;C35;C31;C33;C32;C6;C29;C30;C27;C24;C20;C22;C21;D0;D0;C48;C43;C41;C42;C47;C52;C50;C51;C45;C46;C44;C40;C57;C59;C60;C58;C56;C53;C54;C55;C49;C65;S15;C68;C64;C61;C72;C74;C62;C66;C69;D0;D0;C89;C4;C3;C7;C98;C95;C94;C92;C97;C100;C99;C1;C2;C75;C5;C93;D0;D0;C90;C91;C88;C86;C84;C83;C82;C85;S20;C76;C71;C70;C73;C80;C79;C81;C78;C77;C87;C96;C63;C67;D0
C202	4	629.949380	10125.994370	168.264580	3	D0;C48;C43;C41;C42;C47;C52;C50;C51;C45;C46;C44;C40;C57;C59;C60;C58;C56;C53;C54;C55;C49;C65;S15;C68;C64;C61;C72;C74;C62;C66;C69;D0;D0;C89;C4;C3;C7;C98;C95;C94;C92;C97;C100;C99;C1;C2;C75;C5;C93;D0;D0;C90;C91;C88;C86;C84;C83;C82;C85;S20;C76;C71;C70;C73;C80;C79;C81;C78;C77;C87;C96;C63;C67;D0;D0;C8;C10;C11;C9;C13;C15;C12;C14;C16;C19;C18;C17;C25;C23;C26;S10;C28;C34;C36;C39;C38;C37;C35;C31;C33;C32;C6;C29;C30;C27;C24;C20;C22;C21;D0
C203	4	629.949380	10074.334630	168.504580	3	D0;C48;C43;C41;C42;C47;C52;C50;C51;C45;C46;C44;C40;C57;C59;C60;C58;C56;C53;C54;C55;C49;C65;S15;C68;C64;C61;C72;C74;C62;C66;C69;D0;D0;C90;C91;C88;C86;C84;C83;C82;C85;S20;C76;C71;C70;C73;C80;C79;C81;C78;C77;C87;C96;C63;C67;D0;D0;C8;C10;C11;C9;C13;C15;C12;C14;C16;C19;C18;C17;C25;C23;C26;S10;C28;C34;C36;C39;C38;C37;C35;C31;C33;C32;C6;C29;C30;C27;C24;C20;C22;C21;D0;D0;C89;C4;C3;C7;C98;C95;C94;C92;C97;C100;C99;C1;C2;C75;C5;C93;D0
C204	4	628.912716	10343.460540	168.922942	3	D0;C89;C4;C3;C7;C98;C95;C94;C92;C97;C100;C99;C1;C2;C75;C5;C93;D0;D0;C48;C43;C41;C42;C47;S13;C52;C50;C51;C45;C46;C44;C40;C57;C59;C60;C58;C56;C53;C54;C55;C49;C65;C68;C69;C66;C67;D0;D0;C90;C91;C88;C86;C84;C83;C82;C85;S20;C76;C71;C70;C73;C80;C79;C81;C78;C77;C87;C96;C74;C72;C61;C64;C62;C63;D0;D0;C8;C10;C11;C9;C13;C15;C12;C14;C16;C19;C18;C17;C25;C23;C26;S10;C28;C34;C36;C39;C38;C37;C35;C31;C33;C32;C6;C29;C30;C27;C24;C20;C22;C21;D0
C205	4	629.949380	10020.608320	169.854580	3	D0;C8;C10;C11;C9;C13;C15;C12;C14;C16;C19;C18;C17;C25;C23;C26;S10;C28;C34;C36;C39;C38;C37;C35;C31;C33;C32;C6;C29;C30;C27;C24;C20;C22;C21;D0;D0;C48;C43;C41;C42;C47;C52;C50;C51;C45;C46;C44;C40;C57;C59;C60;C58;C56;C53;C54;C55;C49;C65;S15;C68;C64;C61;C72;C74;C62;C66;C69;D0;D0;C89;C4;C3;C7;C98;C95;C94;C92;C97;C100;C99;C1;C2;C75;C5;C93;D0;D0;C90;C91;C88;C86;C84;C83;C82;C85;S20;C76;C71;C70;C73;C80;C79;C81;C78;C77;C87;C96;C63;C67;D0
