CID                                      InvCost              VarCost              ChargingRate        
S5_static_charger                        20.7344              0.0                  0.4386              
S3_static_charger                        16.4094              0.0                  0.4386              
S4_static_charger                        24.0375              0.0                  0.4386              
S8_static_charger                        21.3296              0.0                  0.4386              
S1_static_charger                        15.2627              0.0                  0.4386              
S18_static_charger                       15.592               0.0                  0.4386              
S11_static_charger                       22.3358              0.0                  0.4386              
S13_static_charger                       24.0733              0.0                  0.4386              
S9_static_charger                        19.8125              0.0                  0.4386              
S6_static_charger                        15.97                0.0                  0.4386              
S16_static_charger                       21.8205              0.0                  0.4386              
S17_static_charger                       24.9945              0.0                  0.4386              
S2_static_charger                        16.7362              0.0                  0.4386              
S15_static_charger                       24.8083              0.0                  0.4386              
S7_static_charger                        22.7426              0.0                  0.4386              
S20_static_charger                       23.6551              0.0                  0.4386              
S10_static_charger                       18.9336              0.0                  0.4386              
S19_static_charger                       23.7435              0.0                  0.4386              
S12_static_charger                       17.5766              0.0                  0.4386              
S14_static_charger                       23.732               0.0                  0.4386              
C51_to_C45_dynamic_charger               2.4303               0.001                0.4386              
C77_to_C87_dynamic_charger               1.8227               0.001                0.4386              
C78_to_C77_dynamic_charger               2.0728               0.001                1.7544              
C99_to_C1_dynamic_charger                1.8794               0.001                1.7544              
C55_to_C49_dynamic_charger               2.3777               0.001                0.4386              
C93_to_Depot_dynamic_charger             1.6692               0.001                0.4386              
C85_to_C76_dynamic_charger               2.3834               0.001                0.4386              
C77_to_C87_dynamic_charger               1.8227               0.001                0.4386              
C46_to_C44_dynamic_charger               1.9333               0.001                0.4386              
C87_to_C96_dynamic_charger               1.6977               0.001                0.4386              
C65_to_C68_dynamic_charger               2.2753               0.001                1.7544              
C11_to_C9_dynamic_charger                2.3879               0.001                1.7544              
C87_to_C96_dynamic_charger               1.6977               0.001                0.4386              
C81_to_C78_dynamic_charger               2.2345               0.001                0.4386              
C49_to_C65_dynamic_charger               2.4187               0.001                1.7544              
C79_to_C81_dynamic_charger               2.1849               0.001                1.7544              
C48_to_C43_dynamic_charger               2.2139               0.001                0.4386              
C85_to_C76_dynamic_charger               2.3834               0.001                0.4386              
C9_to_C13_dynamic_charger                2.2588               0.001                1.7544              
C15_to_C12_dynamic_charger               1.7065               0.001                0.4386              
C9_to_C13_dynamic_charger                2.2588               0.001                1.7544              
C47_to_C52_dynamic_charger               2.0177               0.001                1.7544              
C81_to_C78_dynamic_charger               2.2345               0.001                0.4386              
C37_to_C35_dynamic_charger               2.3843               0.001                1.7544              
C9_to_C13_dynamic_charger                2.2588               0.001                1.7544              
C72_to_C74_dynamic_charger               2.4545               0.001                1.7544              
C37_to_C35_dynamic_charger               2.3843               0.001                1.7544              
C54_to_C55_dynamic_charger               2.046                0.001                0.4386              
C67_to_Depot_dynamic_charger             2.2552               0.001                1.7544              
C31_to_C33_dynamic_charger               1.6223               0.001                0.4386              
C92_to_C97_dynamic_charger               1.5423               0.001                1.7544              
C8_to_C10_dynamic_charger                2.3005               0.001                1.7544              
C82_to_C85_dynamic_charger               1.5905               0.001                0.4386              
C73_to_C80_dynamic_charger               2.4916               0.001                1.7544              
C21_to_Depot_dynamic_charger             1.8917               0.001                1.7544              
C54_to_C55_dynamic_charger               2.046                0.001                0.4386              
C45_to_C46_dynamic_charger               2.2749               0.001                0.4386              
C49_to_C65_dynamic_charger               2.4187               0.001                1.7544              
C67_to_Depot_dynamic_charger             2.2552               0.001                1.7544              
C98_to_C95_dynamic_charger               1.5518               0.001                0.4386              
C17_to_C25_dynamic_charger               2.0395               0.001                0.4386              
C23_to_C26_dynamic_charger               1.6977               0.001                1.7544              
C72_to_C74_dynamic_charger               2.4545               0.001                1.7544              
C28_to_C34_dynamic_charger               2.3956               0.001                1.7544              
C51_to_C45_dynamic_charger               2.4303               0.001                0.4386              
Depot_to_C48_dynamic_charger             1.5718               0.001                1.7544              
C65_to_C68_dynamic_charger               2.2753               0.001                1.7544              
C47_to_C52_dynamic_charger               2.0177               0.001                1.7544              
Depot_to_C89_dynamic_charger             1.8762               0.001                1.7544              
C68_to_C64_dynamic_charger               1.6018               0.001                1.7544              
C99_to_C1_dynamic_charger                1.8794               0.001                1.7544              
C2_to_C75_dynamic_charger                2.4813               0.001                1.7544              
C93_to_Depot_dynamic_charger             1.6692               0.001                0.4386              
C85_to_C76_dynamic_charger               2.3834               0.001                0.4386              
C25_to_C23_dynamic_charger               2.0222               0.001                1.7544              
C96_to_C63_dynamic_charger               2.3268               0.001                0.4386              
C45_to_C46_dynamic_charger               2.2749               0.001                0.4386              
C2_to_C75_dynamic_charger                2.4813               0.001                1.7544              
C5_to_C93_dynamic_charger                1.5465               0.001                1.7544              
C69_to_Depot_dynamic_charger             1.5817               0.001                0.4386              
C11_to_C9_dynamic_charger                2.3879               0.001                1.7544              
C69_to_Depot_dynamic_charger             1.5817               0.001                0.4386              
C48_to_C43_dynamic_charger               2.2139               0.001                0.4386              
C8_to_C10_dynamic_charger                2.3005               0.001                1.7544              
C17_to_C25_dynamic_charger               2.0395               0.001                0.4386              
C92_to_C97_dynamic_charger               1.5423               0.001                1.7544              
C1_to_C2_dynamic_charger                 1.8263               0.001                1.7544              
C57_to_C59_dynamic_charger               2.2377               0.001                1.7544              
C53_to_C54_dynamic_charger               2.1811               0.001                0.4386              
Depot_to_C90_dynamic_charger             1.8427               0.001                0.4386              
C1_to_C2_dynamic_charger                 1.8263               0.001                1.7544              
C47_to_C52_dynamic_charger               2.0177               0.001                1.7544              
C98_to_C95_dynamic_charger               1.5518               0.001                0.4386              
C2_to_C75_dynamic_charger                2.4813               0.001                1.7544              
C53_to_C54_dynamic_charger               2.1811               0.001                0.4386              
C53_to_C54_dynamic_charger               2.1811               0.001                0.4386              
Depot_to_C8_dynamic_charger              2.238                0.001                0.4386              
C13_to_C15_dynamic_charger               1.5674               0.001                0.4386              
C37_to_C35_dynamic_charger               2.3843               0.001                1.7544              
C73_to_C80_dynamic_charger               2.4916               0.001                1.7544              
C100_to_C99_dynamic_charger              2.3036               0.001                0.4386              
Depot_to_C48_dynamic_charger             1.5718               0.001                1.7544              
C59_to_C60_dynamic_charger               1.7895               0.001                1.7544              
C79_to_C81_dynamic_charger               2.1849               0.001                1.7544              
C21_to_Depot_dynamic_charger             1.8917               0.001                1.7544              
C5_to_C93_dynamic_charger                1.5465               0.001                1.7544              
C51_to_C45_dynamic_charger               2.4303               0.001                0.4386              
C82_to_C85_dynamic_charger               1.5905               0.001                0.4386              
Depot_to_C8_dynamic_charger              2.238                0.001                0.4386              
C99_to_C1_dynamic_charger                1.8794               0.001                1.7544              
Depot_to_C8_dynamic_charger              2.238                0.001                0.4386              
C55_to_C49_dynamic_charger               2.3777               0.001                0.4386              
C53_to_C54_dynamic_charger               2.1811               0.001                0.4386              
C31_to_C33_dynamic_charger               1.6223               0.001                0.4386              
C6_to_C29_dynamic_charger                1.595                0.001                1.7544              
C8_to_C10_dynamic_charger                2.3005               0.001                1.7544              
C15_to_C12_dynamic_charger               1.7065               0.001                0.4386              
C54_to_C55_dynamic_charger               2.046                0.001                0.4386              
C51_to_C45_dynamic_charger               2.4303               0.001                0.4386              
C54_to_C55_dynamic_charger               2.046                0.001                0.4386              
C6_to_C29_dynamic_charger                1.595                0.001                1.7544              
C77_to_C87_dynamic_charger               1.8227               0.001                0.4386              
C25_to_C23_dynamic_charger               2.0222               0.001                1.7544              
C68_to_C64_dynamic_charger               1.6018               0.001                1.7544              
C32_to_C6_dynamic_charger                1.5662               0.001                1.7544              
C73_to_C80_dynamic_charger               2.4916               0.001                1.7544              
C67_to_Depot_dynamic_charger             2.2552               0.001                1.7544              
C78_to_C77_dynamic_charger               2.0728               0.001                1.7544              
C46_to_C44_dynamic_charger               1.9333               0.001                0.4386              
Depot_to_C48_dynamic_charger             1.5718               0.001                1.7544              
C69_to_Depot_dynamic_charger             1.5817               0.001                0.4386              
C23_to_C26_dynamic_charger               1.6977               0.001                1.7544              
Depot_to_C90_dynamic_charger             1.8427               0.001                0.4386              
C46_to_C44_dynamic_charger               1.9333               0.001                0.4386              
C100_to_C99_dynamic_charger              2.3036               0.001                0.4386              
C17_to_C25_dynamic_charger               2.0395               0.001                0.4386              
C16_to_C19_dynamic_charger               2.1496               0.001                1.7544              
Depot_to_C89_dynamic_charger             1.8762               0.001                1.7544              
C96_to_C63_dynamic_charger               2.3268               0.001                0.4386              
C5_to_C93_dynamic_charger                1.5465               0.001                1.7544              
C93_to_Depot_dynamic_charger             1.6692               0.001                0.4386              
C26_to_C28_dynamic_charger               1.6913               0.001                1.7544              
C55_to_C49_dynamic_charger               2.3777               0.001                0.4386              
C9_to_C13_dynamic_charger                2.2588               0.001                1.7544              
C15_to_C12_dynamic_charger               1.7065               0.001                0.4386              
C31_to_C33_dynamic_charger               1.6223               0.001                0.4386              
C72_to_C74_dynamic_charger               2.4545               0.001                1.7544              
C78_to_C77_dynamic_charger               2.0728               0.001                1.7544              
C6_to_C29_dynamic_charger                1.595                0.001                1.7544              
