VID                  Type   x                    y                    CID                                      Seq   
S5                   f      32.0                 80.0                 S5_static_charger                        1     
S16                  f      48.0                 11.0                 S16_static_charger                       1     
S9                   f      18.0                 58.0                 S9_static_charger                        1     
S2                   f      90.0                 55.0                 S2_static_charger                        1     
S10                  f      1.0                  56.0                 S10_static_charger                       1     
S14                  f      28.0                 13.0                 S14_static_charger                       1     
S17                  f      59.0                 17.0                 S17_static_charger                       1     
S13                  f      26.0                 37.0                 S13_static_charger                       1     
S20                  f      90.0                 44.0                 S20_static_charger                       1     
S3                   f      55.0                 79.0                 S3_static_charger                        1     
S12                  f      -5.0                 38.0                 S12_static_charger                       1     
S7                   f      23.0                 80.0                 S7_static_charger                        1     
S19                  f      74.0                 32.0                 S19_static_charger                       1     
S4                   f      69.0                 89.0                 S4_static_charger                        1     
S15                  f      39.0                 31.0                 S15_static_charger                       1     
S6                   f      39.0                 96.0                 S6_static_charger                        1     
S1                   f      73.0                 52.0                 S1_static_charger                        1     
S18                  f      73.0                 23.0                 S18_static_charger                       1     
S8                   f      4.0                  83.0                 S8_static_charger                        1     
S11                  f      13.0                 31.0                 S11_static_charger                       1     
DC_C6_C29_3          x      19.95527864090001    49.91055728180002    C6_to_C29_dynamic_charger                3     
DC_C98_C95_2         x      61.93753049292814    79.92191311616017    C98_to_C95_dynamic_charger               2     
DC_C26_C28_0         x      7.950386107713249    61.913175688498185   C26_to_C28_dynamic_charger               0     
DC_C99_C1_0          x      54.948550425385086   79.91425070897513    C99_to_C1_dynamic_charger                0     
DC_Depot_C89_3       x      55.924742331855086   63.9341495403732     Depot_to_C89_dynamic_charger             3     
DC_C85_C76_3         x      89.965825693952      35.09397934163199    C85_to_C76_dynamic_charger               3     
DC_C13_C15_0         x      21.962860933694696   75.09284766576326    C13_to_C15_dynamic_charger               0     
DC_C59_C60_2         x      36.017149858204974   6.695249763674953    C59_to_C60_dynamic_charger               2     
DC_C17_C25_0         x      18.04061384578801    74.90861884697698    C17_to_C25_dynamic_charger               0     
DC_C5_C93_0          x      42.0                 64.9                 C5_to_C93_dynamic_charger                0     
DC_C79_C81_2         x      85.6790463554351     33.302384111412245   C79_to_C81_dynamic_charger               2     
DC_C31_C33_2         x      8.037139066305304    39.90715233423674    C31_to_C33_dynamic_charger               2     
DC_C82_C85_1         x      78.6924652440393     51.97889207305876    C82_to_C85_dynamic_charger               1     
DC_C82_C85_2         x      82.3075347559607     49.02110792694124    C82_to_C85_dynamic_charger               2     
