VID                  Type   x                    y                    CID                                      Seq   
S19                  f      62.0                 21.0                 S19_static_charger                       1     
S18                  f      61.0                 14.0                 S18_static_charger                       1     
S17                  f      50.0                 9.0                  S17_static_charger                       1     
S1                   f      61.0                 37.0                 S1_static_charger                        1     
S5                   f      29.0                 59.0                 S5_static_charger                        1     
S10                  f      5.0                  39.0                 S10_static_charger                       1     
S12                  f      0.0                  26.0                 S12_static_charger                       1     
S7                   f      22.0                 58.0                 S7_static_charger                        1     
S9                   f      18.0                 41.0                 S9_static_charger                        1     
S14                  f      26.0                 6.0                  S14_static_charger                       1     
S6                   f      34.0                 71.0                 S6_static_charger                        1     
S15                  f      34.0                 20.0                 S15_static_charger                       1     
S11                  f      14.0                 20.0                 S11_static_charger                       1     
S8                   f      7.0                  61.0                 S8_static_charger                        1     
S3                   f      47.0                 57.0                 S3_static_charger                        1     
S20                  f      74.0                 30.0                 S20_static_charger                       1     
S2                   f      74.0                 39.0                 S2_static_charger                        1     
S4                   f      57.0                 65.0                 S4_static_charger                        1     
S13                  f      24.0                 25.0                 S13_static_charger                       1     
S16                  f      41.0                 5.0                  S16_static_charger                       1     
I4                   i      20.53846153846154    65.3076923076923     I4_static_charger                        1     
I11                  i      40.1578947368421     50.473684210526315   I11_static_charger                       1     
I3                   i      20.235294117647058   25.529411764705884   I3_static_charger                        1     
I17                  i      47.55813953488372    46.86046511627907    I17_static_charger                       1     
I6                   i      24.4375              28.5                 I6_static_charger                        1     
I8                   i      27.5                 55.0                 I8_static_charger                        1     
I9                   i      33.285714285714285   42.285714285714285   I9_static_charger                        1     
I18                  i      56.20454545454545    36.95454545454545    I18_static_charger                       1     
I12                  i      40.375               50.09375             I12_static_charger                       1     
I7                   i      24.764705882352942   21.176470588235293   I7_static_charger                        1     
I2                   i      18.08695652173913    23.73913043478261    I2_static_charger                        1     
I15                  i      43.69527896995708    53.137339055793994   I15_static_charger                       1     
I13                  i      42.05882352941177    56.1764705882353     I13_static_charger                       1     
DC_Depot_C68_2       x      48.96725538061925    37.660429596308425   Depot_to_C68_dynamic_charger             2     
DC_Depot_C68_3       x      55.901766141857735   38.98128878892528    Depot_to_C68_dynamic_charger             3     
DC_C69_Depot_1       x      36.0                 41.0                 C69_to_Depot_dynamic_charger             1     
DC_C86_C61_0         x      4.08                 18.06                C86_to_C61_dynamic_charger               0     
DC_C14_C38_2         x      5.089442718199983    5.0447213590999915   C14_to_C38_dynamic_charger               2     
DC_C70_C32_2         x      35.01520571893171    68.90116282694386    C70_to_C32_dynamic_charger               2     
DC_C39_C67_2         x      64.64309644077804    7.35690355922196     C39_to_C67_dynamic_charger               2     
DC_C76_C28_3         x      41.08479983158753    37.05299989474221    C76_to_C28_dynamic_charger               3     
DC_C65_C35_1         x      62.33610151589829    72.96678180922046    C65_to_C35_dynamic_charger               1     
DC_C52_C7_0          x      26.92928932233412    43.07071067766588    C52_to_C7_dynamic_charger                0     
DC_C8_C46_1          x      6.0                  45.5                 C8_to_C46_dynamic_charger                1     
DC_Depot_C52_2       x      29.69023689374577    40.30976310625423    Depot_to_C52_dynamic_charger             2     
DC_C16_C44_2         x      10.66118670084631    16.032879794922145   C16_to_C44_dynamic_charger               2     
DC_C32_C30_0         x      35.048564293782896   68.91258427119078    C32_to_C30_dynamic_charger               0     
