CID                                      InvCost              VarCost              ChargingRate        
S15_static_charger                       24.6932              0.0                  2.6316              
S4_static_charger                        23.7001              0.0                  2.6316              
S18_static_charger                       15.6213              0.0                  2.6316              
S5_static_charger                        20.7994              0.0                  2.6316              
S10_static_charger                       16.6705              0.0                  2.6316              
S13_static_charger                       20.0777              0.0                  2.6316              
S6_static_charger                        17.3823              0.0                  2.6316              
S19_static_charger                       18.1433              0.0                  2.6316              
S9_static_charger                        23.6921              0.0                  2.6316              
S20_static_charger                       20.2669              0.0                  2.6316              
S17_static_charger                       19.5474              0.0                  2.6316              
S1_static_charger                        16.261               0.0                  2.6316              
S16_static_charger                       19.8643              0.0                  2.6316              
S8_static_charger                        22.8707              0.0                  2.6316              
S7_static_charger                        18.1702              0.0                  2.6316              
S12_static_charger                       18.0848              0.0                  2.6316              
S14_static_charger                       23.4818              0.0                  2.6316              
S2_static_charger                        17.6516              0.0                  2.6316              
S11_static_charger                       17.6722              0.0                  2.6316              
S3_static_charger                        22.9963              0.0                  2.6316              
I5_static_charger                        21.2469              0.0                  2.6316              
I9_static_charger                        20.2262              0.0                  2.6316              
I3_static_charger                        18.5241              0.0                  2.6316              
I14_static_charger                       18.7975              0.0                  2.6316              
I15_static_charger                       15.1317              0.0                  2.6316              
I2_static_charger                        18.0515              0.0                  2.6316              
I17_static_charger                       18.0273              0.0                  2.6316              
I6_static_charger                        16.3623              0.0                  2.6316              
I11_static_charger                       24.0915              0.0                  2.6316              
I4_static_charger                        16.6336              0.0                  2.6316              
I12_static_charger                       20.6601              0.0                  2.6316              
I13_static_charger                       21.3342              0.0                  2.6316              
I16_static_charger                       16.3672              0.0                  2.6316              
C14_to_C12_dynamic_charger               2.3022               0.001                10.5263             
C27_to_C26_dynamic_charger               1.6633               0.001                10.5263             
C19_to_C18_dynamic_charger               1.6583               0.001                10.5263             
C99_to_C52_dynamic_charger               2.4457               0.001                10.5263             
Depot_to_C65_dynamic_charger             2.0243               0.001                10.5263             
C37_to_C38_dynamic_charger               2.4833               0.001                10.5263             
Depot_to_C53_dynamic_charger             2.2784               0.001                2.6316              
Depot_to_C80_dynamic_charger             2.1592               0.001                10.5263             
C99_to_C52_dynamic_charger               2.4457               0.001                10.5263             
C69_to_C88_dynamic_charger               2.0916               0.001                10.5263             
C11_to_C13_dynamic_charger               2.02                 0.001                2.6316              
C60_to_C98_dynamic_charger               1.6943               0.001                2.6316              
C60_to_C98_dynamic_charger               1.6943               0.001                2.6316              
C13_to_C15_dynamic_charger               2.3522               0.001                2.6316              
C40_to_C36_dynamic_charger               1.9889               0.001                10.5263             
C20_to_C83_dynamic_charger               2.2825               0.001                10.5263             
C89_to_C76_dynamic_charger               2.2494               0.001                2.6316              
C68_to_Depot_dynamic_charger             1.5376               0.001                2.6316              
C35_to_C37_dynamic_charger               2.2931               0.001                10.5263             
C56_to_Depot_dynamic_charger             2.4206               0.001                10.5263             
C44_to_C43_dynamic_charger               1.8452               0.001                10.5263             
C90_to_Depot_dynamic_charger             2.3159               0.001                10.5263             
C29_to_C27_dynamic_charger               1.9181               0.001                10.5263             
C43_to_C40_dynamic_charger               1.9634               0.001                10.5263             
C27_to_C26_dynamic_charger               1.6633               0.001                10.5263             
C70_to_C2_dynamic_charger                2.4008               0.001                2.6316              
C90_to_Depot_dynamic_charger             2.3159               0.001                10.5263             
C12_to_C9_dynamic_charger                1.976                0.001                10.5263             
C98_to_Depot_dynamic_charger             1.7318               0.001                10.5263             
C12_to_C9_dynamic_charger                1.976                0.001                10.5263             
C13_to_C15_dynamic_charger               2.3522               0.001                2.6316              
Depot_to_C91_dynamic_charger             1.7441               0.001                10.5263             
C96_to_Depot_dynamic_charger             1.781                0.001                2.6316              
