VID                  Type   x                    y                    CID                                      Seq   
S14                  f      28.0                 13.0                 S14_static_charger                       1     
S18                  f      73.0                 23.0                 S18_static_charger                       1     
S1                   f      73.0                 52.0                 S1_static_charger                        1     
S20                  f      90.0                 44.0                 S20_static_charger                       1     
S7                   f      23.0                 80.0                 S7_static_charger                        1     
S16                  f      48.0                 11.0                 S16_static_charger                       1     
S11                  f      13.0                 31.0                 S11_static_charger                       1     
S17                  f      59.0                 17.0                 S17_static_charger                       1     
S12                  f      -5.0                 38.0                 S12_static_charger                       1     
S13                  f      26.0                 37.0                 S13_static_charger                       1     
S15                  f      39.0                 31.0                 S15_static_charger                       1     
S8                   f      4.0                  83.0                 S8_static_charger                        1     
S5                   f      32.0                 80.0                 S5_static_charger                        1     
S4                   f      69.0                 89.0                 S4_static_charger                        1     
S3                   f      55.0                 79.0                 S3_static_charger                        1     
S10                  f      1.0                  56.0                 S10_static_charger                       1     
S9                   f      18.0                 58.0                 S9_static_charger                        1     
S2                   f      90.0                 55.0                 S2_static_charger                        1     
S6                   f      39.0                 96.0                 S6_static_charger                        1     
S19                  f      74.0                 32.0                 S19_static_charger                       1     
I3                   i      31.240506329113924   37.91139240506329    I3_static_charger                        1     
I4                   i      27.5531914893617     31.117021276595743   I4_static_charger                        1     
C48                  ic     42.0                 5.0                  I2_static_charger                        1     
DC_C51_C84_2         x      56.97830695314215    28.90238128913968    C51_to_C84_dynamic_charger               2     
DC_C50_C95_1         x      64.0                 36.0                 C50_to_C95_dynamic_charger               1     
DC_C87_C86_2         x      17.96666666666667    24.0                 C87_to_C86_dynamic_charger               2     
DC_C89_C51_2         x      55.06246950381983    19.921913120225216   C89_to_C51_dynamic_charger               2     
DC_C96_C93_2         x      58.96837722179663    52.677207592734455   C96_to_C93_dynamic_charger               2     
DC_C68_Depot_2       x      40.0                 50.1                 C68_to_Depot_dynamic_charger             2     
DC_C86_C58_2         x      17.013130643468497   14.697304834759825   C86_to_C58_dynamic_charger               2     
